time,voltage,current,shunt_v
00:33:14.506,0.83200,44.51220,4.48000
00:33:15.034,0.82000,44.20732,4.45000
00:33:15.575,0.83600,44.78659,4.49000
00:33:16.120,0.83200,44.78659,4.50000
00:33:16.661,0.83600,44.60366,4.49000
00:33:17.203,0.83600,44.60366,4.47000
00:33:17.748,0.82800,44.90854,4.46000
00:33:18.283,0.82400,44.20732,4.42000
00:33:18.825,0.82800,44.69512,4.48000
00:33:19.367,0.83200,44.90854,4.48000
00:33:19.911,0.83200,44.69512,4.47000
00:33:20.456,0.83200,44.60366,4.47000
00:33:21.023,0.83200,44.78659,4.49000
00:33:21.562,0.82800,43.81098,4.47000
00:33:22.103,0.82800,44.08537,4.48000
00:33:22.646,0.83200,44.78659,4.49000
00:33:23.189,0.82000,44.90854,4.50000
00:33:23.731,0.83200,45.00000,4.47000
00:33:24.269,0.82400,44.51220,4.43000
00:33:24.810,0.83200,44.78659,4.48000
00:33:25.352,0.83200,45.09146,4.50000
00:33:25.902,0.82400,44.60366,4.46000
00:33:26.445,0.83200,44.60366,4.47000
00:33:26.996,0.81600,43.99390,4.40000
00:33:27.531,0.82000,43.99390,4.41000
00:33:28.072,0.83600,44.78659,4.48000
00:33:28.617,0.82800,44.29878,4.45000
00:33:29.159,0.83200,44.60366,4.48000
00:33:29.701,0.83200,44.78659,4.46000
00:33:30.234,0.83200,43.90244,4.48000
00:33:30.774,0.83200,44.78659,4.47000
00:33:31.320,0.83600,44.78659,4.47000
00:33:31.866,0.83200,44.69512,4.48000
00:33:32.411,0.83200,44.60366,4.48000
00:33:32.976,0.82800,44.39024,4.44000
00:33:33.513,0.83200,43.81098,4.46000
00:33:34.055,0.83600,44.78659,4.46000
00:33:34.595,0.82800,44.29878,4.45000
00:33:35.140,0.82800,44.69512,4.48000
00:33:35.686,0.83600,44.69512,4.47000
