time,voltage,current,shunt_v
00:39:01.277,0.82400,44.69512,4.44000
00:39:01.805,0.81600,44.39024,4.42000
00:39:02.346,0.82800,44.78659,4.48000
00:39:02.890,0.82800,44.39024,4.47000
00:39:03.422,0.82000,43.90244,4.44000
00:39:03.962,0.83600,44.78659,4.50000
00:39:04.510,0.83600,44.69512,4.47000
00:39:05.055,0.83200,44.69512,4.48000
00:39:05.599,0.82800,44.90854,4.47000
00:39:06.134,0.82000,44.20732,4.43000
00:39:06.666,0.82000,43.81098,4.44000
00:39:07.214,0.82800,44.60366,4.48000
00:39:07.759,0.83200,44.78659,4.48000
00:39:08.303,0.82800,45.00000,4.47000
00:39:08.845,0.83200,44.69512,4.48000
00:39:09.380,0.82400,43.68902,4.46000
00:39:09.923,0.82800,45.09146,4.48000
00:39:10.468,0.82800,44.29878,4.47000
00:39:11.013,0.82800,44.60366,4.44000
00:39:11.557,0.82400,44.69512,4.47000
00:39:12.092,0.82400,44.51220,4.44000
00:39:12.623,0.82800,43.99390,4.49000
00:39:13.166,0.82800,44.60366,4.50000
00:39:13.711,0.83200,44.60366,4.45000
00:39:14.255,0.83200,44.69512,4.46000
00:39:14.800,0.83200,44.78659,4.49000
00:39:15.335,0.82400,43.81098,4.44000
00:39:15.876,0.83200,44.69512,4.48000
00:39:16.416,0.82400,44.39024,4.45000
00:39:16.961,0.82800,44.78659,4.47000
00:39:17.503,0.83200,44.90854,4.47000
00:39:18.055,0.82000,44.20732,4.43000
00:39:18.588,0.82800,44.08537,4.46000
00:39:19.131,0.82800,44.78659,4.48000
00:39:19.675,0.82000,44.69512,4.45000
00:39:20.217,0.83600,44.29878,4.50000
00:39:20.761,0.83200,44.78659,4.50000
00:39:21.295,0.82800,44.20732,4.45000
00:39:21.836,0.82800,44.78659,4.46000
00:39:22.376,0.82400,44.29878,4.43000
00:39:22.919,0.83200,44.69512,4.50000
00:39:23.464,0.83200,44.78659,4.50000
00:39:24.033,0.82400,44.29878,4.45000
00:39:24.568,0.82000,44.39024,4.41000
00:39:25.109,0.83200,44.90854,4.50000
00:39:25.663,0.83600,44.78659,4.48000
00:39:26.205,0.83200,44.69512,4.48000
00:39:26.751,0.82800,44.20732,4.47000
00:39:27.286,0.82000,44.29878,4.43000
00:39:27.827,0.82800,44.69512,4.47000
00:39:28.371,0.83200,44.60366,4.50000
00:39:28.921,0.83200,44.90854,4.48000
00:39:29.466,0.83200,44.69512,4.50000
00:39:30.022,0.82000,44.08537,4.42000
00:39:30.560,0.82000,44.20732,4.43000
00:39:31.100,0.83200,44.60366,4.48000
00:39:31.643,0.83600,44.60366,4.50000
00:39:32.187,0.82800,44.78659,4.47000
00:39:32.732,0.83200,44.51220,4.50000
00:39:33.266,0.82000,43.99390,4.43000
00:39:33.805,0.82800,44.69512,4.48000
00:39:34.354,0.83200,44.60366,4.49000
00:39:34.899,0.83600,44.78659,4.48000
00:39:35.443,0.83200,44.69512,4.49000
00:39:36.013,0.82800,44.60366,4.47000
00:39:36.554,0.81600,43.59756,4.43000
00:39:37.095,0.83200,44.78659,4.49000
00:39:37.633,0.81600,44.29878,4.43000
00:39:38.177,0.82800,44.78659,4.45000
00:39:38.723,0.82800,44.69512,4.46000
00:39:39.256,0.82400,44.51220,4.41000
00:39:39.800,0.82400,44.29878,4.45000
00:39:40.344,0.83200,44.69512,4.48000
00:39:40.887,0.83200,44.78659,4.50000
00:39:41.428,0.82400,44.39024,4.44000
00:39:41.989,0.82400,44.29878,4.45000
00:39:42.524,0.82000,43.81098,4.43000
