time,voltage,current,shunt_v
00:35:04.825,0.82800,44.29878,4.45000
00:35:05.353,0.82000,43.99390,4.43000
00:35:05.894,0.83600,44.69512,4.50000
00:35:06.436,0.82800,44.60366,4.45000
00:35:06.979,0.83200,44.60366,4.48000
00:35:07.523,0.83200,44.60366,4.47000
00:35:08.067,0.83200,44.78659,4.47000
00:35:08.612,0.83600,44.78659,4.49000
00:35:09.147,0.82800,44.20732,4.42000
00:35:09.679,0.82400,44.08537,4.42000
00:35:10.225,0.83600,44.69512,4.48000
00:35:10.777,0.83600,44.51220,4.51000
00:35:11.323,0.83200,44.60366,4.48000
00:35:11.867,0.83600,44.90854,4.48000
00:35:12.402,0.82800,44.20732,4.48000
00:35:12.942,0.83600,44.69512,4.50000
00:35:13.487,0.83600,44.78659,4.49000
00:35:14.031,0.84000,44.78659,4.49000
00:35:14.579,0.82800,44.78659,4.47000
00:35:15.115,0.82000,44.08537,4.44000
00:35:15.648,0.82000,44.39024,4.45000
00:35:16.195,0.83200,44.29878,4.46000
00:35:16.738,0.82800,44.51220,4.45000
00:35:17.280,0.83200,44.78659,4.49000
00:35:17.825,0.83600,44.90854,4.49000
00:35:18.359,0.82400,44.29878,4.43000
00:35:18.901,0.83200,44.90854,4.48000
00:35:19.448,0.83600,44.60366,4.47000
00:35:19.993,0.83600,44.90854,4.48000
00:35:20.536,0.82800,44.29878,4.46000
00:35:21.092,0.82400,44.20732,4.42000
00:35:21.628,0.82400,43.99390,4.44000
00:35:22.170,0.83600,45.00000,4.50000
00:35:22.709,0.82800,44.29878,4.46000
00:35:23.252,0.83200,44.90854,4.48000
00:35:23.797,0.82800,44.39024,4.47000
00:35:24.330,0.82400,44.08537,4.46000
00:35:24.873,0.83200,44.78659,4.36000
00:35:25.417,0.83600,44.51220,4.48000
00:35:25.963,0.83600,44.69512,4.49000
00:35:26.507,0.83200,44.78659,4.49000
00:35:27.048,0.82400,43.99390,4.43000
00:35:27.581,0.82400,44.29878,4.42000
00:35:28.123,0.83600,44.69512,4.47000
00:35:28.665,0.83600,45.00000,4.48000
00:35:29.210,0.83600,44.51220,4.49000
00:35:29.755,0.83200,44.69512,4.47000
00:35:30.289,0.82400,44.51220,4.44000
00:35:30.828,0.83200,44.69512,4.47000
00:35:31.370,0.83200,44.90854,4.48000
00:35:31.915,0.83600,44.69512,4.47000
